Neighborhood,District,Latitude,Longitude
Norhwest Bellevue,Bellevue,47.624843,-122.211874
Northeast Bellevue,Bellevue,47.63131,-122.11867
BelRed,Bellevue,47.62786,-122.16699
Crossroads,Bellevue,47.62336,-122.13334
Downtown Bellevue,Bellevue,47.61735,-122.19363
West Bellevue,Bellevue,47.59854,-122.19909
Wilburton,Bellevue,47.60333,-122.17837
Woodridge,Bellevue,47.59291,-122.171632
Lake Hills,Bellevue,47.596799,-122.144665
West Lake Sammamish,Bellevue,47.588568,-122.120305
Eastgate,Bellevue,47.57545,-122.14681
Factoria,Bellevue,47.57174,-122.16948
Newport,Bellevue,47.549448,-122.18027
Somerset,Bellevue,47.556383,-122.158468
Cougar Mountain/ Lakemont,Bellevue,47.55584,-122.12096
Overlake,Redmond,47.64343,-122.14318
Idylwood,Redmond,47.63573,-122.10032
Downtown Redmond,Redmond,47.67493,-122.12648
Grass Lawn,Redmond,47.66896,-122.14872
Willows/ Rose Hill,Redmond,47.68949,-122.1576
Sammamish Valley,Redmond,47.68586,-122.13905
North Redmond,Redmond,47.7073,-122.11075
Education Hill,Redmond,47.69289,-122.1119
Bear Creek,Redmond,47.68563,-122.09327
SE Redmond,Redmond,47.66375,-122.09768
Central Houghton,Kirkland,47.65811,-122.19622
Lakeview,Kirkland,47.647266,-122.204757
South Rose Hill,Kirkland,47.67357,-122.17674
Everest,Kirkland,47.67258,-122.19095
Moss Bay,Kirkland,47.67302,-122.2023
Norkirk,Kirkland,47.68529,-122.20088
Market,Kirkland,47.68799,-122.21314
Highlands,Kirkland,47.6867,-122.18697
North Rose Hill,Kirkland,47.69009,-122.17575
Finn Hill,Kirkland,47.71732,-122.22735
Juanita,Kirkland,47.703,-122.20596
Totem Lake,Kirkland,47.71452,-122.18102
Kingsgate,Kirkland,47.72746,-122.17857
Kennydale,Renton,47.52063,-122.20442
City Center,Renton,47.475876,-122.20833
Highlands Park,Renton,47.49482,-122.18234
Talbot,Renton,47.84101923,-122.3478526
Benson Hill,Renton,47.44204,-122.19095
Valley,Renton,48.17623,-117.72555
Cedar River,Renton,47.50066,-122.21623
East Prenton Highlands,Renton,47.485733,-122.107331
La Rosa Meadows,Renton,47.455155,-122.201864
Maplewood,Renton,47.468329,-122.163714
Bryn Mawr-Skyway,Bryn Mawr-Skyway,47.494287,-122.237614
Newcastle,Newcastle,47.53766,-122.16548
